task,mouse,session,n_trials,percent_no_response,percent_cue_poke_no_lick,percent_cue_poke_lick_no_reward,percent_complete_sequence_rewarded,percent_offcue_poke_only,percent_mixed_offcue_and_oncue,engagement_rate,lick_given_oncue_poke_rate,reward_given_oncue_poke_rate,reward_given_poke_and_lick_rate,median_cue_to_poke_latency,median_poke_to_lick_latency,median_lick_to_reward_latency
AppetitveTaskReal,m102,11,61,14.754,8.197,11.475,32.787,32.787,47.541,52.459,84.375,62.5,74.074,1.449,0.221,0.022
AppetitveTaskReal,m103,1,61,37.705,3.279,4.918,18.033,36.066,24.59,26.23,87.5,68.75,78.571,2.878,0.622,0.021
AppetitveTaskReal,m103,2,61,32.787,0.0,4.918,21.311,40.984,26.23,26.23,100.0,81.25,81.25,2.426,1.622,0.022
AppetitveTaskReal,m103,3,61,19.672,1.639,1.639,22.951,54.098,22.951,26.23,93.75,87.5,93.333,2.658,0.276,0.022
AppetitveTaskReal,m103,4,61,27.869,1.639,8.197,19.672,42.623,27.869,29.508,94.444,66.667,70.588,4.96,0.324,0.021
AppetitveTaskReal,m103,5,61,21.311,1.639,1.639,31.148,44.262,21.311,34.426,95.238,90.476,95.0,2.855,0.187,0.025
AppetitveTaskReal,m103,6,61,44.262,0.0,1.639,14.754,39.344,11.475,16.393,100.0,90.0,90.0,1.86,0.282,0.022
AppetitveTaskReal,m103,7,61,27.869,8.197,11.475,11.475,40.984,19.672,31.148,73.684,36.842,50.0,3.425,5.248,0.021
AppetitveTaskReal,m103,8,61,37.705,4.918,0.0,13.115,44.262,9.836,18.033,72.727,72.727,100.0,3.661,0.194,0.021
AppetitveTaskReal,m103,9,61,47.541,1.639,3.279,18.033,29.508,13.115,22.951,92.857,78.571,84.615,3.226,0.233,0.019
AppetitveTaskReal,m103,10,61,49.18,1.639,0.0,13.115,36.066,9.836,14.754,88.889,88.889,100.0,3.833,0.317,0.026
AppetitveTaskReal,m103,11,61,52.459,6.557,1.639,6.557,32.787,3.279,14.754,55.556,44.444,80.0,2.31,0.352,0.022
AppetitveTaskReal,m103,12,61,16.393,0.0,8.197,36.066,39.344,40.984,44.262,100.0,81.481,81.481,4.575,0.155,0.023
AppetitveTaskReal,m104,1,60,75.0,0.0,5.0,3.333,16.667,6.667,8.333,100.0,40.0,40.0,1.674,5.513,0.036
AppetitveTaskReal,m104,2,60,28.333,3.333,3.333,26.667,38.333,25.0,33.333,90.0,80.0,88.889,3.56,0.412,0.023
AppetitveTaskReal,m104,3,60,30.0,1.667,5.0,15.0,48.333,18.333,21.667,92.308,69.231,75.0,5.62,1.107,0.021
AppetitveTaskReal,m104,4,60,43.333,1.667,3.333,18.333,33.333,20.0,23.333,92.857,78.571,84.615,4.205,0.279,0.028
AppetitveTaskReal,m104,5,60,38.333,0.0,1.667,18.333,41.667,15.0,20.0,100.0,91.667,91.667,4.951,0.353,0.023
AppetitveTaskReal,m104,6,60,40.0,3.333,3.333,5.0,48.333,8.333,11.667,71.429,42.857,60.0,5.351,3.598,0.021
AppetitveTaskReal,m104,7,60,40.0,1.667,1.667,15.0,41.667,13.333,18.333,90.909,81.818,90.0,4.708,0.38,0.027
AppetitveTaskReal,m104,8,60,35.0,5.0,0.0,8.333,51.667,11.667,13.333,62.5,62.5,100.0,3.666,0.265,0.022
AppetitveTaskReal,m104,9,60,30.0,10.0,10.0,5.0,45.0,20.0,25.0,60.0,20.0,33.333,4.346,6.382,0.027
AppetitveTaskReal,m104,10,60,28.333,3.333,8.333,21.667,38.333,28.333,33.333,90.0,65.0,72.222,4.185,0.294,0.022
AppetitveTaskReal,m104,11,60,25.0,3.333,3.333,28.333,40.0,33.333,35.0,90.476,80.952,89.474,4.102,0.247,0.022
AppetitveTaskReal,m104,12,60,28.333,6.667,6.667,11.667,46.667,23.333,25.0,73.333,46.667,63.636,4.228,0.526,0.023
