task,mouse,session,n_trials,n_engaged,n_rewarded,hit_rate,engagement_rate,accuracy_when_engaged,offcue_pokes,offcue_pokes_per_trial,cue_to_poke_latency_median,poke_to_lick_latency_median
AppetitveTaskReal,m104,2,60,20,16,26.667,33.333,80.0,133,2.217,3.56,0.412
AppetitveTaskReal,m104,3,60,13,9,15.0,21.667,69.231,110,1.833,5.62,1.107
AppetitveTaskReal,m104,4,60,14,11,18.333,23.333,78.571,141,2.35,4.205,0.279
AppetitveTaskReal,m104,5,60,12,12,20.0,20.0,91.667,94,1.567,4.951,0.353
AppetitveTaskReal,m104,6,60,7,3,5.0,11.667,42.857,94,1.567,5.351,3.598
AppetitveTaskReal,m104,7,60,11,9,15.0,18.333,81.818,95,1.583,4.708,0.38
AppetitveTaskReal,m104,8,60,8,5,8.333,13.333,62.5,105,1.75,3.666,0.265
AppetitveTaskReal,m104,9,60,15,3,5.0,25.0,20.0,102,1.7,4.346,6.382
AppetitveTaskReal,m104,10,60,20,13,21.667,33.333,65.0,98,1.633,4.185,0.294
AppetitveTaskReal,m104,11,60,21,17,28.333,35.0,80.952,139,2.317,4.102,0.247
AppetitveTaskReal,m104,12,60,15,7,11.667,25.0,46.667,101,1.683,4.228,0.526
