mouse,session,session_date,total_trials,participated_trials,participation_rate,hits,misses,no_responses,hit_rate,miss_rate,false_alarm_rate,correct_rejection_rate,reward_rate,punishment_rate,n_false_alarms_total,mean_latency,median_latency,mean_activity_level,performance_score,crossed_criterion
m102,3,2025-11-13,61,13,21.311475409836067,13,0,48,21.311475409836067,0.0,60.65573770491803,39.34426229508197,21.311475409836067,60.65573770491803,168,2.8259934095235972,2.248721122741699,18.0327868852459,100.0,True
m102,4,2025-11-17,61,20,32.78688524590164,20,0,41,32.78688524590164,0.0,68.85245901639344,31.147540983606557,32.78688524590164,68.85245901639344,219,2.4895374059677122,2.237419009208679,21.491803278688526,100.0,True
m102,5,2025-11-19,61,20,32.78688524590164,20,0,41,32.78688524590164,0.0,55.73770491803279,44.26229508196721,32.78688524590164,55.73770491803279,129,2.9132339477539064,2.28257954120636,17.16393442622951,100.0,True
m102,6,2025-11-23,61,25,40.98360655737705,22,3,36,36.0655737704918,4.918032786885246,72.1311475409836,27.868852459016395,36.0655737704918,72.1311475409836,164,3.4546015644073487,2.6740469932556152,19.229508196721312,88.0,True
m102,7,2025-11-25,61,26,42.622950819672134,25,1,35,40.98360655737705,1.639344262295082,62.295081967213115,37.704918032786885,40.98360655737705,62.295081967213115,141,2.8409299850463867,2.1542330980300903,13.80327868852459,96.15384615384616,True
m102,8,2025-12-02,61,18,29.508196721311474,14,4,43,22.950819672131146,6.557377049180328,54.09836065573771,45.90163934426229,22.950819672131146,54.09836065573771,108,3.4083960718578763,3.290723443031311,12.78688524590164,77.77777777777777,True
m102,9,2025-12-03,61,35,57.377049180327866,31,4,26,50.81967213114754,6.557377049180328,78.68852459016394,21.311475409836067,50.81967213114754,78.68852459016394,323,2.3700464044298446,1.5621709823608398,25.508196721311474,88.57142857142857,True
m102,10,2025-12-08,61,23,37.704918032786885,19,4,38,31.147540983606557,6.557377049180328,65.57377049180327,34.42622950819672,31.147540983606557,65.57377049180327,221,2.0975890366927437,1.1440629959106445,18.62295081967213,82.6086956521739,True
m102,11,2025-12-17,61,32,52.459016393442624,20,12,29,32.78688524590164,19.672131147540984,80.32786885245902,19.672131147540984,32.78688524590164,80.32786885245902,373,2.0938175916671753,1.4485445022583008,20.442622950819672,62.5,False
m103,1,2025-11-10,61,16,26.229508196721312,11,5,45,18.0327868852459,8.19672131147541,59.01639344262295,40.98360655737705,18.0327868852459,59.01639344262295,118,3.406269758939743,2.8775854110717773,13.819672131147541,68.75,False
m103,2,2025-11-12,61,16,26.229508196721312,13,3,45,21.311475409836067,4.918032786885246,63.9344262295082,36.0655737704918,21.311475409836067,63.9344262295082,119,2.3967344164848328,2.4263709783554077,16.295081967213115,81.25,True
m103,3,2025-11-13,61,16,26.229508196721312,14,2,45,22.950819672131146,3.278688524590164,77.04918032786885,22.950819672131146,22.950819672131146,77.04918032786885,129,3.121552884578705,2.6578094959259033,20.442622950819672,87.5,True
m103,4,2025-11-16,61,18,29.508196721311474,12,6,43,19.672131147540984,9.836065573770492,70.49180327868852,29.508196721311474,19.672131147540984,70.49180327868852,112,4.9636564122305975,4.960350513458252,9.19672131147541,66.66666666666667,False
