task,mouse,session,n_trials,on_pokes,off_pokes,on_licks,off_licks,mean_oncue_share,poke_oncue_share,lick_oncue_share,on_off_ratio
AppetitveTaskReal,m97,2,60,28,144,218,936,15.855745010525645,16.27906976744186,18.890814558058924,0.22777777777777777
AppetitveTaskReal,m97,3,60,26,147,269,879,22.022916786492544,15.028901734104046,23.43205574912892,0.2875243664717349
AppetitveTaskReal,m97,4,60,27,140,249,923,21.50517087430191,16.167664670658684,21.245733788395903,0.2596425211665099
AppetitveTaskReal,m97,5,60,25,196,293,1019,18.158461778715836,11.312217194570136,22.33231707317073,0.2617283950617284
AppetitveTaskReal,m97,6,60,31,209,244,950,22.203807462886616,12.916666666666666,20.435510887772196,0.2372735116479724
AppetitveTaskReal,m97,7,60,28,164,238,600,24.792177019905118,14.583333333333334,28.400954653937948,0.3481675392670157
AppetitveTaskReal,m97,8,60,36,206,336,906,25.253854864156082,14.87603305785124,27.053140096618357,0.3345323741007194
AppetitveTaskReal,m98,1,61,13,82,6,606,12.033594043522896,13.68421052631579,0.9803921568627451,0.027616279069767442
AppetitveTaskReal,m98,2,61,5,81,37,355,3.3669003375245725,5.813953488372093,9.438775510204081,0.0963302752293578
AppetitveTaskReal,m98,3,61,8,22,10,78,31.555555555555554,26.666666666666668,11.363636363636363,0.18
AppetitveTaskReal,m98,4,61,3,54,33,321,5.346780800632822,5.2631578947368425,9.322033898305085,0.096
AppetitveTaskReal,m98,5,61,9,29,85,335,21.275831359993003,23.68421052631579,20.238095238095237,0.25824175824175827
AppetitveTaskReal,m98,6,61,3,41,6,204,1.257459505541347,6.818181818181818,2.857142857142857,0.036734693877551024
AppetitveTaskReal,m98,7,61,2,16,0,10,13.636363636363637,11.11111111111111,0.0,0.07692307692307693
AppetitveTaskReal,m98,8,61,9,26,55,169,20.55717939349653,25.714285714285715,24.553571428571427,0.3282051282051282
AppetitveTaskReal,m98,9,61,6,33,6,18,22.943722943722943,15.384615384615385,25.0,0.23529411764705882
AppetitveTaskReal,m98,10,61,4,36,23,161,5.835344890644429,10.0,12.5,0.13705583756345177
AppetitveTaskReal,m98,11,61,9,39,69,266,17.1166306679196,18.75,20.597014925373134,0.25573770491803277
AppetitveTaskReal,m98,12,61,14,51,168,463,17.67380229424481,21.53846153846154,26.624405705229794,0.3540856031128405
AppetitveTaskReal,m100,1,61,17,162,7,385,12.594688872700075,9.497206703910615,1.7857142857142858,0.043875685557586835
AppetitveTaskReal,m100,2,62,18,102,125,527,18.805527559190242,15.0,19.171779141104295,0.2273449920508744
AppetitveTaskReal,m100,3,61,21,92,124,372,21.592325135903526,18.58407079646018,25.0,0.3125
AppetitveTaskReal,m100,4,61,35,282,135,843,17.42636375983244,11.041009463722398,13.803680981595091,0.1511111111111111
AppetitveTaskReal,m101,1,60,15,108,3,175,9.095268542199488,12.195121951219512,1.6853932584269662,0.0636042402826855
AppetitveTaskReal,m101,2,61,24,66,2,94,22.587782587782588,26.666666666666668,2.0833333333333335,0.1625
AppetitveTaskReal,m101,3,61,13,41,4,60,21.831501831501832,24.074074074074073,6.25,0.16831683168316833
AppetitveTaskReal,m101,4,61,13,81,17,177,11.945987982873229,13.829787234042554,8.762886597938145,0.11627906976744186
AppetitveTaskReal,m101,5,61,15,47,49,313,12.489858168761309,24.193548387096776,13.535911602209945,0.17777777777777778
AppetitveTaskReal,m101,6,61,10,28,46,70,21.30946051998684,26.31578947368421,39.6551724137931,0.5714285714285714
AppetitveTaskReal,m101,7,61,6,42,31,277,14.826839826839826,12.5,10.064935064935066,0.11598746081504702
AppetitveTaskReal,m101,8,61,11,56,22,178,18.303495311167946,16.417910447761194,11.0,0.14102564102564102
AppetitveTaskReal,m101,9,61,15,68,47,353,25.76486442560338,18.072289156626507,11.75,0.14726840855106887
AppetitveTaskReal,m101,10,61,10,62,23,253,9.036412590537289,13.88888888888889,8.333333333333334,0.10476190476190476
AppetitveTaskReal,m101,11,60,7,60,16,158,14.170506912442397,10.447761194029852,9.195402298850574,0.10550458715596331
AppetitveTaskReal,m101,12,61,22,151,100,602,15.740405276815542,12.716763005780347,14.245014245014245,0.16201859229747675
